City,Latitude,Longitude
Arusha (Arusha) ,-3.36667,36.68333
Bagamoyo (Pwani) ,-6.44222,38.90422
Bukoba (Kagera ) ,-1.33167,31.81222
Bunda (Mara ) ,-2.05,33.86667
Buseresere (Geita ) ,-3.02361,31.87472
Chalinze (Pwani ) ,-6.63784,38.35396
Dar es Salaam (Dar es Salaam ) ,-6.82349,39.26951
Dodoma (Dodoma ) ,-6.17221,35.73947
Geiro (Morogoro ) ,-6.15,36.86667
Geita (Geita ) ,-2.86667,32.16667
Ifakara (Morogoro ) ,-8.13333,36.68333
Igunga (Tabora ) ,-4.28333,33.88333
Iringa (Iringa ) ,-7.76667,35.7
Kahama (Shinyanga ) ,-3.83333,32.6
Kasulu (Kigoma ) ,-4.57667,30.1025
Katoro (Geita ) ,-3.02028,31.89583
Katumba (Mbeya ) ,-9.23333,33.61667
Kidatu (Morogoro ) ,-7.69916,36.95722
Kidodi (Morogoro ) ,-7.60361,37.00438
Kigoma (Kigoma ) ,-4.87694,29.62667
Kilosa (Morogoro ) ,-6.83333,36.98333
Lindi (Lindi ) ,-9.99709,39.71649
Mafinga (Iringa) ,-7.25,35.06667
Makumbako (Njombe ) ,-8.85,34.83333
Masasi (Mtwara ) ,-10.71667,38.8
Masumbwe (Geita ) ,-3.63333,32.18333
Mbeya (Mbeya ) ,-8.9,33.45
Merelani (Arusha ) ,-3.56182,36.97895
Misungwi (Mwanza ) ,-2.85,33.08333
Mlimba (Morogoro ) ,-8.8,35.81667
Morogoro (Morogoro ) ,-6.82102,37.66122
Moshi (Kilimanjaro ) ,-3.35,37.33333
Mpanda (Katavi ) ,-6.34379,31.06951
Mtwara (Mtwara ) ,-10.26667,40.18333
Musoma (Mara ) ,-1.5,33.8
Mwanza (Mwanza ) ,-2.51667,32.9
Newala Kisimani (Mtwara ) ,-10.95,39.28333
Nguruka (Kigoma ) ,-5.10917,31.04194
Njombe (Njombe ) ,-9.33333,34.76667
Shinyanga (Shinyanga ) ,-3.66393,33.42118
Singida (Singida ) ,-4.81629,34.74358
Songea (Ruvuma ) ,-10.68333,35.65
Sumbawanga (Rukwa ) ,-7.96667,31.61667
Tabora (Tabora ) ,-5.01622,32.82663
Tanga (Tanga ) ,-5.06893,39.09875
Tunduma (Mbeya ) ,-9.3,32.76667
Ushirombo (Geita ) ,-3.49194,31.96389
Uyovu (Geita ) ,-3.28333,31.52583
Vwawa (Mbeya ) ,-9.11667,32.93333
Zanzibar (Zanzibar Urban/West ) ,-6.16394,39.19793
