City,Latitude,Longitude
Arusha (Arusha) ,-3.36667,36.68333
Bukoba (Kagera ) ,-1.33167,31.81222
Dar es Salaam (Dar es Salaam ) ,-6.82349,39.26951
Dodoma (Dodoma ) ,-6.17221,35.73947
Geita (Geita ) ,-2.86667,32.16667
Iringa (Iringa ) ,-7.76667,35.7
Kahama (Shinyanga ) ,-3.83333,32.6
Kigoma (Kigoma ) ,-4.87694,29.62667
Mbeya (Mbeya ) ,-8.9,33.45
Morogoro (Morogoro ) ,-6.82102,37.66122
Moshi (Kilimanjaro ) ,-3.35,37.33333
Mtwara (Mtwara ) ,-10.26667,40.18333
Musoma (Mara ) ,-1.5,33.8
Mwanza (Mwanza ) ,-2.51667,32.9
Shinyanga (Shinyanga ) ,-3.66393,33.42118
Songea (Ruvuma ) ,-10.68333,35.65
Sumbawanga (Rukwa ) ,-7.96667,31.61667
Tabora (Tabora ) ,-5.01622,32.82663
Tanga (Tanga ) ,-5.06893,39.09875
Tunduma (Mbeya ) ,-9.3,32.76667
Zanzibar (Zanzibar Urban/West ) ,-6.16394,39.19793
