City,Latitude,Longitude,Population
Dar es Salaam (Dar es Salaam ) ,-6.82349,39.26951,2339910
Mwanza (Mwanza ) ,-2.519692,32.901442,385810
Arusha (Arusha) ,-3.36667,36.68333,333791
Zanzibar (Zanzibar Urban/West ) ,-6.16394,39.19793,320701
Mbeya (Mbeya ) ,-8.9,33.45,232596
Morogoro (Morogoro ) ,-6.82102,37.66122,209058
Tanga (Tanga ) ,-5.06893,39.09875,172557
Dodoma (Dodoma ) ,-6.17221,35.73947,150604
Moshi (Kilimanjaro ) ,-3.35,37.33333,143799
Tabora (Tabora ) ,-5.01622,32.82663,126089
Musoma (Mara ) ,-1.5,33.8,104851
Iringa (Iringa ) ,-7.76667,35.7,102208
Songea (Ruvuma ) ,-10.68333,35.65,98683
Mtwara (Mtwara ) ,-10.26667,40.18333,79277
Sumbawanga (Rukwa ) ,-7.96667,31.61667,74890
Shinyanga (Shinyanga ) ,-3.66393,33.42118,73921
Bukoba (Kagera ) ,-1.33167,31.81222,59157
Singida (Singida ) ,-4.81629,34.74358,57904
Mpanda (Katavi ) ,-6.34379,31.06951,44533
Kibaha,-6.849789,38.648281,42503
Ifakara (Morogoro ) ,-8.13333,36.68333,41606
Bunda (Mara ) ,-2.05,33.86667,40404
Geita (Geita ) ,-2.86667,32.16667,39562
Kidatu (Morogoro ) ,-7.69916,36.95722,38486
Sengerema,-2.628887,32.671683,38424
Mbuguni,-3.55156,36.916492,37109
Tarime,-1.314266,34.279055,36122
Makumbako (Njombe ) ,-8.85,34.83333,35919
Njombe (Njombe ) ,-9.33333,34.76667,34630
Masasi (Mtwara ) ,-10.71667,38.8,34034
Kahama (Shinyanga ) ,-3.83333,32.6,33957
Kasulu (Kigoma ) ,-4.57667,30.1025,33452
Babati,-4.210064,35.74915,30975
Utengule,-8.680124,33.863807,30816
Lindi (Lindi ) ,-9.99709,39.71649,29178
Bagamoyo (Pwani) ,-6.44222,38.90422,28368
Nansio,-2.108396,33.086706,28341
Tunduma (Mbeya ) ,-9.3,32.76667,28237
Korogwe,-5.15921,38.452263,26060
Kilosa (Morogoro ) ,-6.83333,36.98333,26060
Wete,-5.056425,39.72799,24983
Tunduru,-10.91446,37.29732,24512
Nzega,-4.363525,32.985535,24113
Muheza,-5.17706,38.794782,22604
Ikwiriri,-7.957739,38.987949,22441
Kondoa,-4.921126,35.820684,20426
Nguruka (Kigoma ) ,-5.10917,31.04194,20413
Vwawa (Mbeya ) ,-9.11667,32.93333,19298
Chake Chake,-5.244035,39.768508,19283
Mpwapwa,-6.46242,36.431682,18992
Geiro (Morogoro ) ,-6.15,36.86667,16982
Newala Kisimani (Mtwara ) ,-10.95,39.28333,16910
Mafinga (Iringa) ,-7.25,35.06667,16612
Ushirombo (Geita ) ,-3.49194,31.96389,16016
Igunga (Tabora ) ,-4.28333,33.88333,15553
Mlimba (Morogoro ) ,-8.8,35.81667,13740
Katoro (Geita ) ,-3.02028,31.89583,13458
Misungwi (Mwanza ) ,-2.85,33.08333,12127
Masumbwe (Geita ) ,-3.63333,32.18333,10791
Chalinze (Pwani ) ,-6.63784,38.35396,10469
Buseresere (Geita ) ,-3.02361,31.87472,9202
