City,Latitude,Longitude,Population
Dar es Salaam (Dar es Salaam ) ,-6.82349,39.26951,2339910
Mwanza (Mwanza ) ,-2.519692,32.901442,385810
Arusha (Arusha) ,-3.36667,36.68333,333791
Zanzibar (Zanzibar Urban/West ) ,-6.16394,39.19793,320701
Mbeya (Mbeya ) ,-8.9,33.45,232596
Morogoro (Morogoro ) ,-6.82102,37.66122,209058
Tanga (Tanga ) ,-5.06893,39.09875,172557
Dodoma (Dodoma ) ,-6.17221,35.73947,150604
Moshi (Kilimanjaro ) ,-3.35,37.33333,143799
Tabora (Tabora ) ,-5.01622,32.82663,126089
Musoma (Mara ) ,-1.5,33.8,104851
Iringa (Iringa ) ,-7.76667,35.7,102208
Songea (Ruvuma ) ,-10.68333,35.65,98683
Mtwara (Mtwara ) ,-10.26667,40.18333,79277
Sumbawanga (Rukwa ) ,-7.96667,31.61667,74890
Shinyanga (Shinyanga ) ,-3.66393,33.42118,73921
Bukoba (Kagera ) ,-1.33167,31.81222,59157
Singida (Singida ) ,-4.81629,34.74358,57904
Mpanda (Katavi ) ,-6.34379,31.06951,44533
Kibaha,-6.849789,38.648281,42503
Ifakara (Morogoro ) ,-8.13333,36.68333,41606
Bunda (Mara ) ,-2.05,33.86667,40404
Geita (Geita ) ,-2.86667,32.16667,39562
Kidatu (Morogoro ) ,-7.69916,36.95722,38486
Sengerema,-2.628887,32.671683,38424
Mbuguni,-3.55156,36.916492,37109
Tarime,-1.314266,34.279055,36122
Makumbako (Njombe ) ,-8.85,34.83333,35919
Njombe (Njombe ) ,-9.33333,34.76667,34630
Masasi (Mtwara ) ,-10.71667,38.8,34034
Kahama (Shinyanga ) ,-3.83333,32.6,33957
Kasulu (Kigoma ) ,-4.57667,30.1025,33452
Babati,-4.210064,35.74915,30975
Utengule,-8.680124,33.863807,30816
Lindi (Lindi ) ,-9.99709,39.71649,29178
Bagamoyo (Pwani) ,-6.44222,38.90422,28368
Nansio,-2.108396,33.086706,28341
Tunduma (Mbeya ) ,-9.3,32.76667,28237
Korogwe,-5.15921,38.452263,26060
Kilosa (Morogoro ) ,-6.83333,36.98333,26060
Wete,-5.056425,39.72799,24983
Tunduru,-10.91446,37.29732,24512
Nzega,-4.363525,32.985535,24113
Muheza,-5.17706,38.794782,22604
Ikwiriri,-7.957739,38.987949,22441
Kondoa,-4.921126,35.820684,20426
Nguruka (Kigoma ) ,-5.10917,31.04194,20413
Vwawa (Mbeya ) ,-9.11667,32.93333,19298
Chake Chake,-5.244035,39.768508,19283
Mpwapwa,-6.46242,36.431682,18992
Urambo,-4.918741,31.843397,18913
Nachingwea,-10.35821,38.760799,18810
Bomangombe,-6.18124,35.74816,17674
Magu,-2.5884,33.426231,17638
Kyela,-9.59623,33.8699,17602
Nyalikungu,-3.1834,33.77841,17384
Mlandizi,-6.717,38.73886,17324
Illula,-7.69034,36.03013,17065
Gairo,-6.13607,36.86846,16982
Newala Kisimani (Mtwara ) ,-10.95,39.28333,16910
Same,-4.06926,37.74091,16819
Sirari,-1.24661,34.47537,16795
Manyoni,-5.74642,34.836411,16645
Mafinga,-7.25,35.06667,16612
Ushirombo (Geita ) ,-3.49194,31.96389,16016
Tukuyu,-9.26042,33.64309,15856
Namanyere,-7.51121,31.04747,15638
Igunga (Tabora ) ,-4.28333,33.88333,15553
Bariadi,-2.80767,33.988129,15462
Nkome,-3.57597,34.3832,15433
Mbinga,-10.94772,35.006351,15359
Itigi,-5.70311,34.49469,14362
Hedaru,-4.50687,37.91283,14179
Liwale,-9.80407,37.923061,14096
Handeni,-5.43197,38.023129,14057
Mlimba (Morogoro ) ,-8.8,35.81667,13740
Usa River,-3.38031,36.850922,13542
Chato,-2.6383,31.775221,13540
Katoro (Geita ) ,-3.02028,31.89583,13458
Kibondo,-3.90456,30.94239,13241
Ubaruku,-6.82523,39.27655,12685
Mvomero,-6.32954,37.42655,12576
Mugumu,-1.83797,34.67788,12549
Mwanga,-3.65807,37.586391,12329
Ngudu,-2.96341,33.33846,12324
Mbulu,-3.85572,35.5453,12137
Misungwi (Mwanza ) ,-2.85,33.08333,12127
Mangula,-6.18124,35.74816,12083
Mikumi,-7.4071,36.97282,11778
Kibiti,-7.72019,38.93865,11395
Kiomboi,-4.27986,34.40875,11350
Isagehe,-3.26332,33.84873,10909
Masumbwe (Geita ) ,-3.63333,32.18333,10791
Tandahimba,-10.76377,39.63035,10713
Diobahika,-6.18124,35.74816,10616
Kimamba,-6.78602,37.14095,10537
Chalinze (Pwani ) ,-6.63784,38.35396,10469
Kisesa,-2.55526,33.04823,10179
Kibaigwa,-6.08124,36.64817,10004
Kirando,-6.18124,35.74816,9936
Nanyamba,-10.69104,39.79982,9872
Lushoto,-4.7885,38.293041,9834
Shirati,-1.12362,33.98818,9794
Laela,-8.57304,32.04652,9745
Dumila,-6.3851,37.34217,9650
Ruangwa,-10.06399,38.9303,9605
Biharamulo,-2.63938,31.312201,9585
Tarakea,-3.00209,37.56451,9569
Mnyuzi,-6.18124,35.74816,9542
