,longitude,latitude,neighborhood
2,-74.0018,40.7388,West Village
3,-73.9677,40.7539,Turtle Bay-East Midtown
4,-73.9493,40.8241,Hamilton Heights
5,-74.0028,40.7429,Hudson Yards-Chelsea-Flatiron-Union Square
6,-73.96600000000002,40.8012,Morningside Heights
7,-73.9957,40.7427,Hudson Yards-Chelsea-Flatiron-Union Square
8,-73.9457,40.8234,Hamilton Heights
9,-73.9808,40.7278,East Village
10,-73.9467,40.7769,Yorkville
12,-73.977,40.7488,Murray Hill-Kips Bay
13,-73.9817,40.7707,Lincoln Square
15,-73.9743,40.7439,Murray Hill-Kips Bay
16,-73.983,40.7305,East Village
17,-73.928,40.8643,Washington Heights North
18,-73.9638,40.7999,Morningside Heights
19,-73.9799,40.7328,Stuyvesant Town-Cooper Village
20,-73.9845,40.7454,Midtown-Midtown South
21,-73.9794,40.7427,Murray Hill-Kips Bay
22,-73.9741,40.7447,Murray Hill-Kips Bay
23,-74.0081,40.7074,Battery Park City-Lower Manhattan
25,-73.9653,40.7584,Turtle Bay-East Midtown
26,-73.9502,40.7728,Yorkville
27,-73.9917,40.7709,Clinton
29,-73.9506,40.7716,Yorkville
30,-73.976,40.7897,Upper West Side
31,-73.9678,40.7902,Upper West Side
32,-74.0148,40.7179,Battery Park City-Lower Manhattan
33,-73.9942,40.7301,West Village
35,-73.9418,40.79,East Harlem South
37,-73.9763,40.7649,Midtown-Midtown South
38,-73.9867,40.7471,Midtown-Midtown South
40,-74.0044,40.7231,SoHo-TriBeCa-Civic Center-Little Italy
41,-73.9533,40.7723,Lenox Hill-Roosevelt Island
42,-73.954,40.7753,Yorkville
43,-73.9511,40.7739,Yorkville
44,-73.957,40.8031,Central Harlem South
45,-73.9626,40.7975,Upper West Side
46,-73.9981,40.7372,West Village
47,-74.0005,40.7479,Hudson Yards-Chelsea-Flatiron-Union Square
49,-73.9831,40.7377,Gramercy
50,-73.8573,40.7263,Forest Hills
51,-73.8569,40.7267,Forest Hills
52,-73.9573,40.7817,Upper East Side-Carnegie Hill
53,-73.9756,40.789,Upper West Side
54,-73.9702,40.7522,Turtle Bay-East Midtown
55,-73.8339,40.7059,Kew Gardens
56,-73.9675,40.7943,Upper West Side
57,-73.9565,40.7699,Lenox Hill-Roosevelt Island
58,-73.9914,40.766,Clinton
60,-73.7142,40.7493,Glen Oaks-Floral Park-New Hyde Park
61,-73.9705,40.7892,Upper West Side
62,-73.9647,40.7571,Turtle Bay-East Midtown
63,-73.9819,40.7299,East Village
64,-73.9493,40.7796,Yorkville
65,-73.9564,40.7459,Hunters Point-Sunnyside-West Maspeth
66,-73.9854,40.7467,Midtown-Midtown South
67,-73.9854,40.7619,Midtown-Midtown South
68,-73.9896,40.7341,East Village
69,-73.9779,40.7413,Murray Hill-Kips Bay
70,-73.9531,40.7351,Greenpoint
71,-73.9648,40.8028,Morningside Heights
72,-74.0109,40.7196,SoHo-TriBeCa-Civic Center-Little Italy
73,-73.9532,40.7777,Yorkville
74,-74.0058,40.7087,Battery Park City-Lower Manhattan
75,-73.9741,40.7924,Upper West Side
76,-73.9846,40.7756,Lincoln Square
77,-74.0095,40.7054,Battery Park City-Lower Manhattan
78,-73.8543,40.7108,Forest Hills
79,-73.9444,40.7802,Yorkville
80,-73.9342,40.664,Crown Heights South
81,-73.9863,40.7349,Gramercy
84,-73.9715,40.7931,Upper West Side
85,-73.9538,40.7788,Yorkville
86,-73.9259,40.6578,Rugby-Remsen Village
87,-73.9541,40.769,Lenox Hill-Roosevelt Island
88,-73.9824,40.6633,Park Slope-Gowanus
90,-73.9617,40.7604,Lenox Hill-Roosevelt Island
91,-73.9774,40.778,Lincoln Square
92,-73.9803,40.7801,Upper West Side
93,-74.0052,40.7447,Hudson Yards-Chelsea-Flatiron-Union Square
94,-73.9982,40.6896,Carroll Gardens-Columbia Street-Red Hook
95,-73.8519,40.7306,Forest Hills
96,-74.0016,40.7318,West Village
97,-73.9712,40.7594,Turtle Bay-East Midtown
98,-73.9572,40.74800000000001,Hunters Point-Sunnyside-West Maspeth
99,-73.9858,40.7681,Clinton
100,-74.0312,40.624,Bay Ridge
101,-73.9548,40.7161,North Side-South Side
102,-73.9577,40.7676,Lenox Hill-Roosevelt Island
103,-74.0046,40.7073,Battery Park City-Lower Manhattan
104,-73.9617,40.5946,Homecrest
105,-73.979,40.7426,Murray Hill-Kips Bay
106,-73.9496,40.7793,Yorkville
107,-73.9423,40.7216,Greenpoint
108,-73.9504,40.7802,Yorkville
109,-74.0059,40.7128,SoHo-TriBeCa-Civic Center-Little Italy
110,-73.9518,40.7763,Yorkville
111,-73.9813,40.7676,Midtown-Midtown South
112,-73.9686,40.5757,Brighton Beach
113,-73.9883,40.7777,Lincoln Square
114,-73.9661,40.8034,Morningside Heights
115,-73.9395,40.7133,East Williamsburg
116,-73.9251,40.8678,Marble Hill-Inwood
117,-73.9903,40.7592,Clinton
118,-73.9525,40.7779,Yorkville
119,-74.01,40.7064,Battery Park City-Lower Manhattan
120,-73.9878,40.7108,Lower East Side
121,-73.9794,40.7856,Upper West Side
122,-73.9812,40.7281,East Village
123,-73.9817,40.7393,Murray Hill-Kips Bay
124,-73.947,40.7736,Yorkville
125,-73.9628,40.7633,Lenox Hill-Roosevelt Island
126,-73.9754,40.7444,Murray Hill-Kips Bay
127,-73.7804,40.7796,Ft. Totten-Bay Terrace-Clearview
128,-73.9581,40.7697,Lenox Hill-Roosevelt Island
129,-74.0113,40.7075,Battery Park City-Lower Manhattan
130,-73.9836,40.7264,East Village
132,-73.9416,40.7983,East Harlem North
133,-73.9748,40.7481,Murray Hill-Kips Bay
134,-73.9689,40.7993,Upper West Side
136,-73.9819,40.7299,East Village
137,-73.9481,40.7751,Yorkville
138,-73.9645,40.7922,Upper West Side
139,-73.9934,40.7366,Hudson Yards-Chelsea-Flatiron-Union Square
140,-73.9527,40.6896,Bedford
141,-74.0081,40.7324,West Village
142,-73.9772,40.7412,Murray Hill-Kips Bay
143,-73.9678,40.754,Turtle Bay-East Midtown
144,-73.9965,40.7382,Hudson Yards-Chelsea-Flatiron-Union Square
145,-73.98,40.764,Midtown-Midtown South
146,-74.0039,40.7401,West Village
147,-73.9564,40.7481,Hunters Point-Sunnyside-West Maspeth
148,-73.94800000000002,40.7723,Yorkville
149,-73.9527,40.7681,Lenox Hill-Roosevelt Island
151,-73.9676,40.7951,Upper West Side
152,-73.9668,40.6905,Clinton Hill
153,-73.9978,40.7612,Clinton
154,-73.9687,40.7906,Upper West Side
155,-73.9217,40.8666,Marble Hill-Inwood
157,-74.0059,40.7075,Battery Park City-Lower Manhattan
158,-73.9105,40.6812,Ocean Hill
160,-73.9596,40.7634,Lenox Hill-Roosevelt Island
161,-73.9837,40.7307,East Village
162,-73.9878,40.7242,East Village
163,-73.9868,40.7298,East Village
164,-73.9781,40.7658,Midtown-Midtown South
166,-73.9585,40.7437,Hunters Point-Sunnyside-West Maspeth
167,-73.9984,40.7177,SoHo-TriBeCa-Civic Center-Little Italy
168,-73.9579,40.76300000000001,Lenox Hill-Roosevelt Island
169,-73.9402,40.6663,Crown Heights South
170,-73.9822,40.7406,Gramercy
171,-73.9663,40.755,Turtle Bay-East Midtown
172,-73.9956,40.7621,Clinton
173,-73.9803,40.7469,Murray Hill-Kips Bay
174,-73.8272,40.7111,Kew Gardens
175,-74.0148,40.7182,Battery Park City-Lower Manhattan
176,-73.9486,40.8217,Hamilton Heights
177,-73.9835,40.7265,East Village
180,-73.9914,40.7032,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
181,-73.9751,40.7787,Upper West Side
182,-73.9851,40.7265,East Village
183,-73.9789,40.7491,Murray Hill-Kips Bay
184,-73.9496,40.7793,Yorkville
185,-73.926,40.7726,Old Astoria
186,-73.9757,40.7462,Murray Hill-Kips Bay
187,-74.0018,40.7346,West Village
188,-74.0099,40.7062,Battery Park City-Lower Manhattan
189,-73.9566,40.7704,Lenox Hill-Roosevelt Island
190,-73.9643,40.7616,Lenox Hill-Roosevelt Island
191,-73.9636,40.755,Turtle Bay-East Midtown
192,-73.9907,40.7588,Clinton
193,-73.9822,40.6911,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
194,-73.9806,40.7417,Murray Hill-Kips Bay
195,-73.995,40.7603,Clinton
196,-73.9781,40.7658,Midtown-Midtown South
197,-73.9427,40.8342,Washington Heights South
198,-73.987,40.7604,Midtown-Midtown South
199,-73.9754,40.746,Murray Hill-Kips Bay
200,-73.9496,40.7771,Yorkville
201,-73.9772,40.7412,Murray Hill-Kips Bay
203,-73.9846,40.7637,Midtown-Midtown South
204,-74.0094,40.7095,Battery Park City-Lower Manhattan
205,-73.9926,40.7425,Hudson Yards-Chelsea-Flatiron-Union Square
206,-74.0143,40.7088,Battery Park City-Lower Manhattan
207,-73.9606,40.7722,Upper East Side-Carnegie Hill
208,-73.9765,40.7489,Murray Hill-Kips Bay
209,-73.9882,40.7274,East Village
210,-74.0026,40.7512,Hudson Yards-Chelsea-Flatiron-Union Square
211,-73.9962,40.7593,Hudson Yards-Chelsea-Flatiron-Union Square
212,-73.9959,40.753,Hudson Yards-Chelsea-Flatiron-Union Square
213,-73.9611,40.8008,Morningside Heights
214,-73.9837,40.7221,East Village
215,-73.9876,40.731,East Village
216,-73.9758,40.7928,Upper West Side
217,-73.9695,40.753,Turtle Bay-East Midtown
218,-73.9826,40.7302,East Village
220,-74.0089,40.7328,West Village
221,-73.9674,40.7992,Upper West Side
222,-73.9694,40.7588,Turtle Bay-East Midtown
223,-73.9687,40.756,Turtle Bay-East Midtown
224,-73.9978,40.7612,Clinton
225,-73.986,40.7297,East Village
226,-74.0,40.7444,Hudson Yards-Chelsea-Flatiron-Union Square
227,-73.9826,40.742,Gramercy
228,-73.968,40.7976,Upper West Side
229,-73.9491,40.7836,Yorkville
230,-73.9504,40.7868,East Harlem South
231,-73.9567,40.8035,Central Harlem South
232,-74.0149,40.708,Battery Park City-Lower Manhattan
233,-73.9465,40.7803,Yorkville
234,-73.9777,40.7861,Upper West Side
236,-74.0055,40.7111,Battery Park City-Lower Manhattan
237,-73.9828,40.7356,Gramercy
238,-73.9839,40.7316,East Village
239,-73.955,40.6167,Midwood
241,-73.9777,40.7852,Upper West Side
242,-73.94800000000002,40.7842,Yorkville
243,-73.9785,40.7633,Midtown-Midtown South
244,-73.9859,40.7443,Midtown-Midtown South
245,-73.9757,40.7462,Murray Hill-Kips Bay
246,-73.9668,40.6905,Clinton Hill
248,-73.9831,40.7187,Lower East Side
249,-73.9732,40.7489,Turtle Bay-East Midtown
250,-74.0055,40.7331,West Village
251,-73.9819,40.7299,East Village
252,-73.9767,40.7405,Murray Hill-Kips Bay
253,-73.9812,40.7449,Murray Hill-Kips Bay
254,-73.9483,40.7775,Yorkville
255,-73.9706,40.7974,Upper West Side
256,-73.9849,40.7518,Midtown-Midtown South
258,-73.9788,40.7421,Murray Hill-Kips Bay
259,-73.961,40.7603,Lenox Hill-Roosevelt Island
260,-73.9887,40.7752,Lincoln Square
261,-74.0065,40.7081,Battery Park City-Lower Manhattan
262,-73.9621,40.759,Turtle Bay-East Midtown
263,-74.0143,40.71,Battery Park City-Lower Manhattan
264,-73.9796,40.7333,Stuyvesant Town-Cooper Village
265,-73.9764,40.7894,Upper West Side
266,-73.9794,40.7427,Murray Hill-Kips Bay
267,-73.9744,40.7865,Upper West Side
268,-73.9564,40.7481,Hunters Point-Sunnyside-West Maspeth
269,-73.92,40.7033,Bushwick North
270,-73.9902,40.7238,East Village
271,-74.0076,40.7047,Battery Park City-Lower Manhattan
273,-73.9535,40.7838,Upper East Side-Carnegie Hill
274,-73.9485,40.7705,Lenox Hill-Roosevelt Island
275,-73.9501,40.7706,Lenox Hill-Roosevelt Island
276,-73.9406,40.8441,Washington Heights South
277,-73.9982,40.7568,Hudson Yards-Chelsea-Flatiron-Union Square
278,-73.9668,40.6905,Clinton Hill
279,-73.9695,40.753,Turtle Bay-East Midtown
280,-73.9552,40.8071,Central Harlem South
281,-73.9782,40.7749,Lincoln Square
282,-73.9617,40.6461,Flatbush
283,-73.9864,40.7318,East Village
284,-73.9785,40.7633,Midtown-Midtown South
285,-73.9583,40.6774,Crown Heights North
286,-73.9849,40.7628,Midtown-Midtown South
287,-73.9793,40.6621,Park Slope-Gowanus
289,-73.9532,40.8233,Hamilton Heights
290,-74.0094,40.7343,West Village
291,-73.9907,40.7632,Clinton
292,-73.9863,40.745,Midtown-Midtown South
293,-73.9485,40.7705,Lenox Hill-Roosevelt Island
294,-73.97399999999998,40.6493,Windsor Terrace
295,-73.9485,40.7729,Yorkville
296,-73.9864,40.7625,Clinton
297,-73.94,40.8222,Central Harlem North-Polo Grounds
298,-73.9838,40.7586,Midtown-Midtown South
299,-73.9508,40.8246,Hamilton Heights
300,-73.9464,40.7805,Yorkville
301,-73.9708,40.7974,Upper West Side
302,-73.9392,40.8021,East Harlem North
303,-73.9797,40.6898,Fort Greene
304,-74.0047,40.7334,West Village
305,-73.9064,40.7735,Steinway
306,-73.9515,40.7771,Yorkville
307,-73.99,40.7601,Clinton
308,-73.971,40.7863,Upper West Side
310,-73.9344,40.7669,Astoria
311,-74.0009,40.7338,West Village
312,-73.8801,40.7494,Jackson Heights
313,-73.9377,40.8419,Washington Heights South
314,-74.008,40.7321,West Village
315,-73.9461,40.779,Yorkville
316,-73.986,40.7292,East Village
317,-73.992,40.7381,Hudson Yards-Chelsea-Flatiron-Union Square
318,-73.8633,40.7369,Corona
321,-73.9658,40.7559,Turtle Bay-East Midtown
322,-73.969,40.7549,Turtle Bay-East Midtown
323,-73.9991,40.7198,SoHo-TriBeCa-Civic Center-Little Italy
324,-73.97399999999998,40.7446,Murray Hill-Kips Bay
325,-73.9509,40.7826,Yorkville
326,-73.9902,40.7238,East Village
327,-73.9752,40.7854,Upper West Side
328,-74.0059,40.7075,Battery Park City-Lower Manhattan
329,-73.9659,40.6736,Prospect Heights
331,-73.97399999999998,40.7538,Turtle Bay-East Midtown
332,-73.9514,40.7792,Yorkville
333,-73.9638,40.7621,Lenox Hill-Roosevelt Island
334,-73.9759,40.7785,Upper West Side
335,-73.9827,40.6906,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
336,-73.9799,40.764,Midtown-Midtown South
337,-74.0046,40.7073,Battery Park City-Lower Manhattan
338,-73.9504,40.7802,Yorkville
339,-73.9622,40.7582,Turtle Bay-East Midtown
340,-73.9865,40.7348,Gramercy
341,-73.9812,40.7409,Murray Hill-Kips Bay
342,-73.9963,40.7606,Clinton
343,-73.9536,40.7775,Yorkville
344,-74.0065,40.7081,Battery Park City-Lower Manhattan
346,-73.9901,40.7487,Midtown-Midtown South
347,-73.9441,40.8365,Washington Heights South
348,-73.9625,40.7993,Morningside Heights
349,-73.9799,40.7635,Midtown-Midtown South
350,-73.9709,40.7528,Turtle Bay-East Midtown
352,-74.0018,40.7346,West Village
353,-73.9749,40.7885,Upper West Side
354,-73.9615,40.6882,Clinton Hill
355,-73.9982,40.7568,Hudson Yards-Chelsea-Flatiron-Union Square
357,-73.9216,40.7416,Hunters Point-Sunnyside-West Maspeth
358,-73.9964,40.7562,Hudson Yards-Chelsea-Flatiron-Union Square
359,-73.9181,40.8064,Mott Haven-Port Morris
360,-73.9757,40.7462,Murray Hill-Kips Bay
361,-73.9893,40.7295,East Village
362,-73.9854,40.7619,Midtown-Midtown South
363,-74.0042,40.7373,West Village
