,old_index,bedrooms,longitude_x,latitude_x,mean_neighbor_price
0,2,1,-74.0018,40.7388,3090.0
1,3,1,-73.9677,40.7539,3610.0
2,4,4,-73.9493,40.8241,3200.0
3,5,4,-74.0028,40.7429,7958.0
4,6,2,-73.96600000000002,40.8012,3600.0
5,7,1,-73.9957,40.7427,5096.8
6,8,1,-73.9457,40.8234,1615.0
7,9,4,-73.9808,40.7278,5880.0
8,10,0,-73.9467,40.7769,1950.0
9,12,2,-73.977,40.7488,4460.0
10,13,2,-73.9817,40.7707,6753.4
11,15,0,-73.9743,40.7439,2629.0
12,16,2,-73.983,40.7305,3390.0
13,17,1,-73.928,40.8643,1707.0
14,18,4,-73.9638,40.7999,5150.0
15,19,1,-73.9799,40.7328,3322.4
16,20,3,-73.9845,40.7454,6637.0
17,21,2,-73.9794,40.7427,3039.2
18,22,1,-73.9741,40.7447,2736.0
19,23,1,-74.0081,40.7074,3994.6
20,25,4,-73.9653,40.7584,8419.0
21,26,1,-73.9502,40.7728,2177.0
22,27,1,-73.9917,40.7709,3386.8
23,29,2,-73.9506,40.7716,5680.0
24,30,0,-73.976,40.7897,2370.0
25,31,2,-73.9678,40.7902,4084.0
26,32,1,-74.0148,40.7179,5372.0
27,33,2,-73.9942,40.7301,4114.0
28,35,1,-73.9418,40.79,1650.0
29,37,0,-73.9763,40.7649,2644.0
30,38,2,-73.9867,40.7471,6031.0
31,40,3,-74.0044,40.7231,3969.8
32,41,4,-73.9533,40.7723,13700.0
33,42,0,-73.954,40.7753,2570.0
34,43,0,-73.9511,40.7739,2165.0
35,44,1,-73.957,40.8031,2500.0
36,45,1,-73.9626,40.7975,2403.0
37,46,0,-73.9981,40.7372,2794.0
38,47,2,-74.0005,40.7479,4412.0
39,49,2,-73.9831,40.7377,4288.0
40,50,1,-73.8573,40.7263,1790.0
41,51,1,-73.8569,40.7267,1840.0
42,52,0,-73.9573,40.7817,2405.0
43,53,1,-73.9756,40.789,3395.0
44,54,0,-73.9702,40.7522,2702.0
45,55,2,-73.8339,40.7059,2170.0
46,56,2,-73.9675,40.7943,3980.0
47,57,0,-73.9565,40.7699,2594.8
48,58,3,-73.9914,40.766,4673.0
49,60,2,-73.7142,40.7493,2010.0
50,61,1,-73.9705,40.7892,3328.6
51,62,0,-73.9647,40.7571,2238.2
52,63,2,-73.9819,40.7299,3715.0
53,64,1,-73.9493,40.7796,2160.0
54,65,1,-73.9564,40.7459,3160.0
55,66,1,-73.9854,40.7467,4532.0
56,67,1,-73.9854,40.7619,3780.6
57,68,2,-73.9896,40.7341,5590.0
58,69,2,-73.9779,40.7413,3653.4
59,70,1,-73.9531,40.7351,2321.0
60,71,2,-73.9648,40.8028,3080.0
61,72,3,-74.0109,40.7196,5297.6
62,73,1,-73.9532,40.7777,2718.0
63,74,2,-74.0058,40.7087,4183.4
64,75,2,-73.9741,40.7924,6000.0
65,76,2,-73.9846,40.7756,6512.0
66,77,2,-74.0095,40.7054,3758.0
67,78,0,-73.8543,40.7108,1770.0
68,79,1,-73.9444,40.7802,3244.2
69,80,1,-73.9342,40.664,1639.0
70,81,1,-73.9863,40.7349,3820.0
71,84,2,-73.9715,40.7931,3234.0
72,85,4,-73.9538,40.7788,11925.8
73,86,2,-73.9259,40.6578,1780.0
74,87,0,-73.9541,40.769,1850.0
75,88,2,-73.9824,40.6633,2108.0
76,90,0,-73.9617,40.7604,2360.0
77,91,1,-73.9774,40.778,2740.0
78,92,3,-73.9803,40.7801,4780.0
79,93,3,-74.0052,40.7447,5980.0
80,94,2,-73.9982,40.6896,3080.0
81,95,2,-73.8519,40.7306,2220.0
82,96,2,-74.0016,40.7318,3635.0
83,97,3,-73.9712,40.7594,4707.0
84,98,3,-73.9572,40.74800000000001,4143.0
85,99,1,-73.9858,40.7681,3808.0
86,100,2,-74.0312,40.624,2079.0
87,101,2,-73.9548,40.7161,4682.8
88,102,1,-73.9577,40.7676,2749.8
89,103,1,-74.0046,40.7073,3165.6
90,104,1,-73.9617,40.5946,1746.0
91,105,2,-73.979,40.7426,3278.0
92,106,0,-73.9496,40.7793,1741.0
93,107,1,-73.9423,40.7216,2220.0
94,108,1,-73.9504,40.7802,2000.0
95,109,1,-74.0059,40.7128,2789.0
96,110,2,-73.9518,40.7763,3064.2
97,111,2,-73.9813,40.7676,7183.4
98,112,2,-73.9686,40.5757,2325.0
99,113,2,-73.9883,40.7777,7278.0
100,114,2,-73.9661,40.8034,3200.0
101,115,1,-73.9395,40.7133,2419.2
102,116,2,-73.9251,40.8678,1757.0
103,117,1,-73.9903,40.7592,2190.0
104,118,2,-73.9525,40.7779,5145.0
105,119,1,-74.01,40.7064,3626.0
106,120,4,-73.9878,40.7108,6260.0
107,121,1,-73.9794,40.7856,2889.0
108,122,4,-73.9812,40.7281,5880.0
109,123,0,-73.9817,40.7393,2548.0
110,124,2,-73.947,40.7736,2769.0
111,125,1,-73.9628,40.7633,3263.8
112,126,0,-73.9754,40.7444,2669.0
113,127,3,-73.7804,40.7796,2157.6
114,128,2,-73.9581,40.7697,3100.0
115,129,0,-74.0113,40.7075,2847.0
116,130,3,-73.9836,40.7264,4895.0
117,132,3,-73.9416,40.7983,2110.0
118,133,0,-73.9748,40.7481,2740.0
119,134,1,-73.9689,40.7993,2459.0
120,136,1,-73.9819,40.7299,2895.0
121,137,2,-73.9481,40.7751,2570.0
122,138,2,-73.9645,40.7922,5375.8
123,139,0,-73.9934,40.7366,3158.0
124,140,3,-73.9527,40.6896,3522.4
125,141,1,-74.0081,40.7324,6785.0
126,142,1,-73.9772,40.7412,3070.0
127,143,0,-73.9678,40.754,2575.0
128,144,0,-73.9965,40.7382,3914.2
129,145,1,-73.98,40.764,3480.0
130,146,2,-74.0039,40.7401,5313.0
131,147,1,-73.9564,40.7481,3254.0
132,148,1,-73.94800000000002,40.7723,2440.0
133,149,3,-73.9527,40.7681,7820.0
134,151,1,-73.9676,40.7951,2820.2
135,152,1,-73.9668,40.6905,2450.0
136,153,1,-73.9978,40.7612,3388.2
137,154,3,-73.9687,40.7906,5774.0
138,155,2,-73.9217,40.8666,2196.0
139,157,3,-74.0059,40.7075,4201.0
140,158,3,-73.9105,40.6812,2334.0
141,160,2,-73.9596,40.7634,6790.0
142,161,4,-73.9837,40.7307,6080.0
143,162,0,-73.9878,40.7242,1930.0
144,163,0,-73.9868,40.7298,2875.0
145,164,1,-73.9781,40.7658,3835.0
146,166,2,-73.9585,40.7437,4657.6
147,167,3,-73.9984,40.7177,5035.0
148,168,2,-73.9579,40.76300000000001,2780.0
149,169,1,-73.9402,40.6663,1790.0
150,170,1,-73.9822,40.7406,3411.0
151,171,1,-73.9663,40.755,2719.0
152,172,2,-73.9956,40.7621,5178.0
153,173,3,-73.9803,40.7469,5160.0
154,174,1,-73.8272,40.7111,1699.0
155,175,2,-74.0148,40.7182,5839.8
156,176,2,-73.9486,40.8217,2180.0
157,177,3,-73.9835,40.7265,4837.0
158,180,0,-73.9914,40.7032,2958.4
159,181,1,-73.9751,40.7787,3893.0
160,182,1,-73.9851,40.7265,2638.0
161,183,2,-73.9789,40.7491,3660.0
162,184,1,-73.9496,40.7793,2137.0
163,185,1,-73.926,40.7726,2400.0
164,186,1,-73.9757,40.7462,3313.0
165,187,1,-74.0018,40.7346,3059.2
166,188,2,-74.0099,40.7062,3176.6
167,189,1,-73.9566,40.7704,3854.0
168,190,2,-73.9643,40.7616,5295.0
169,191,3,-73.9636,40.755,4269.0
170,192,3,-73.9907,40.7588,3870.0
171,193,1,-73.9822,40.6911,3109.6
172,194,1,-73.9806,40.7417,3600.0
173,195,2,-73.995,40.7603,2355.0
174,196,1,-73.9781,40.7658,3835.0
175,197,2,-73.9427,40.8342,1906.0
176,198,3,-73.987,40.7604,5261.4
177,199,2,-73.9754,40.746,3386.0
178,200,1,-73.9496,40.7771,2509.0
179,201,1,-73.9772,40.7412,3070.0
180,203,1,-73.9846,40.7637,3024.0
181,204,2,-74.0094,40.7095,3323.0
182,205,3,-73.9926,40.7425,7940.0
183,206,2,-74.0143,40.7088,3480.0
184,207,3,-73.9606,40.7722,6140.0
185,208,2,-73.9765,40.7489,3240.0
186,209,4,-73.9882,40.7274,6940.0
187,210,1,-74.0026,40.7512,3765.0
188,211,1,-73.9962,40.7593,3197.8
189,212,3,-73.9959,40.753,4519.0
190,213,3,-73.9611,40.8008,2820.0
191,214,3,-73.9837,40.7221,5049.4
