,longitude,latitude,neighborhood
0,-73.9425,40.7145,East Williamsburg
1,-73.9667,40.7947,Upper West Side
11,-73.9396,40.8448,Washington Heights South
14,-73.9648,40.7584,Turtle Bay-East Midtown
24,-73.9936,40.7391,Hudson Yards-Chelsea-Flatiron-Union Square
34,-73.9404,40.844,Washington Heights South
39,-73.9959,40.753,Hudson Yards-Chelsea-Flatiron-Union Square
48,-73.9504,40.7802,Yorkville
59,-73.9522,40.6888,Bedford
82,-73.9626,40.7617,Lenox Hill-Roosevelt Island
83,-73.9381,40.8394,Washington Heights South
89,-73.9592,40.7762,Upper East Side-Carnegie Hill
131,-73.9667,40.7947,Upper West Side
135,-73.9603,40.7694,Lenox Hill-Roosevelt Island
150,-73.9498,40.7777,Yorkville
156,-73.9847,40.7692,Lincoln Square
165,-73.9944,40.7548,Hudson Yards-Chelsea-Flatiron-Union Square
178,-73.8792,40.7441,Elmhurst
179,-73.9681,40.7689,Upper East Side-Carnegie Hill
202,-73.9055,40.6577,Brownsville
235,-73.9914,40.7032,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
240,-74.0135,40.6503,Sunset Park West
247,-74.0058,40.7087,Battery Park City-Lower Manhattan
257,-74.0308,40.727,Unknown
272,-73.9779,40.7466,Murray Hill-Kips Bay
288,-73.9935,40.7247,West Village
309,-73.9456,40.7767,Yorkville
319,-73.9464,40.7222,Greenpoint
320,-73.9838,40.7316,East Village
330,-73.9157,40.8063,Mott Haven-Port Morris
345,-73.9936,40.7616,Clinton
351,-73.955,40.7087,North Side-South Side
356,-73.9846,40.7756,Lincoln Square
366,-74.0008,40.7084,Battery Park City-Lower Manhattan
374,-73.9486,40.8309,Hamilton Heights
379,-73.9861,40.7719,Lincoln Square
384,-73.9689,40.7602,Turtle Bay-East Midtown
426,-73.9171,40.7658,Astoria
430,-73.9587,40.7723,Lenox Hill-Roosevelt Island
451,-73.961,40.6455,Flatbush
452,-73.9681,40.7689,Upper East Side-Carnegie Hill
478,-73.9375,40.8404,Washington Heights South
489,-73.947,40.7806,Yorkville
495,-73.9473,40.8152,Central Harlem North-Polo Grounds
529,-73.9249,40.6769,Crown Heights North
534,-73.9789,40.7491,Murray Hill-Kips Bay
539,-73.9576,40.6889,Bedford
553,-73.926,40.7726,Old Astoria
559,-73.9824,40.7817,Upper West Side
579,-73.9347,40.8514,Washington Heights North
588,-73.97710000000002,40.7923,Upper West Side
616,-73.9727,40.7436,Turtle Bay-East Midtown
620,-73.9797,40.7456,Murray Hill-Kips Bay
626,-73.9638,40.7634,Lenox Hill-Roosevelt Island
631,-73.9846,40.7756,Lincoln Square
646,-73.8928,40.7059,Ridgewood
648,-73.9567,40.7696,Lenox Hill-Roosevelt Island
654,-73.9713,40.7506,Turtle Bay-East Midtown
662,-73.9964,40.7194,SoHo-TriBeCa-Civic Center-Little Italy
670,-74.0162,40.7056,Battery Park City-Lower Manhattan
671,-73.9485,40.7967,East Harlem South
675,-73.9268,40.8618,Washington Heights North
683,-73.9804,40.73,East Village
689,-73.9663,40.8035,Morningside Heights
698,-73.9678,40.7605,Turtle Bay-East Midtown
711,-73.9667,40.7947,Upper West Side
726,-73.9543,40.758,Lenox Hill-Roosevelt Island
731,-73.9846,40.7228,East Village
736,-73.9982,40.7568,Hudson Yards-Chelsea-Flatiron-Union Square
750,-73.9727,40.7436,Turtle Bay-East Midtown
754,-73.9642,40.65,Flatbush
756,-74.0072,40.7067,Battery Park City-Lower Manhattan
762,-73.9976,40.7545,Hudson Yards-Chelsea-Flatiron-Union Square
782,-73.9185,40.7694,Astoria
796,-74.0055,40.7111,Battery Park City-Lower Manhattan
808,-73.9359,40.8417,Washington Heights South
820,-74.0055,40.7111,Battery Park City-Lower Manhattan
842,-73.9826,40.7299,East Village
849,-73.99,40.7601,Clinton
853,-73.969,40.7549,Turtle Bay-East Midtown
895,-73.9932,40.7633,Clinton
896,-73.9789,40.7744,Lincoln Square
911,-73.9839,40.7316,East Village
918,-73.9935,40.7568,Clinton
923,-73.9789,40.7743,Lincoln Square
925,-73.9794,40.7804,Upper West Side
926,-74.0032,40.7235,SoHo-TriBeCa-Civic Center-Little Italy
934,-73.9859,40.7358,Gramercy
947,-73.9822,40.7816,Upper West Side
955,-74.0065,40.7081,Battery Park City-Lower Manhattan
962,-73.9978,40.7612,Clinton
966,-73.9504,40.7802,Yorkville
976,-73.9113,40.7711,Steinway
981,-74.0053,40.7456,Hudson Yards-Chelsea-Flatiron-Union Square
985,-73.9497,40.7618,Lenox Hill-Roosevelt Island
997,-73.9919,40.69,Brooklyn Heights-Cobble Hill
1007,-73.9759,40.7785,Upper West Side
1018,-73.9949,40.7226,SoHo-TriBeCa-Civic Center-Little Italy
1023,-73.9817,40.7397,Murray Hill-Kips Bay
1024,-73.9944,40.7548,Hudson Yards-Chelsea-Flatiron-Union Square
1029,-73.9578,40.8198,Manhattanville
1035,-73.9839,40.776,Lincoln Square
1048,-74.0005,40.7228,SoHo-TriBeCa-Civic Center-Little Italy
1053,-74.0,40.7318,West Village
1061,-73.984,40.7645,Midtown-Midtown South
1072,-73.9459,40.8362,Washington Heights South
1101,-73.9531,40.774,Yorkville
1114,-73.9755,40.7859,Upper West Side
1115,-73.9637,40.8019,Morningside Heights
1120,-73.993,40.7715,Clinton
1128,-74.0031,40.7288,West Village
1138,-73.9566,40.7215,North Side-South Side
1144,-73.9478,40.7739,Yorkville
1159,-73.9978,40.7612,Clinton
1160,-73.9566,40.6895,Bedford
1169,-74.0056,40.7109,Battery Park City-Lower Manhattan
1181,-73.9957,40.7427,Hudson Yards-Chelsea-Flatiron-Union Square
