,old_index,bedrooms,longitude_x,latitude_x,mean_neighbor_price
0,0,3,-73.9425,40.7145,3460.0
1,1,2,-73.9667,40.7947,5696.0
2,11,1,-73.9396,40.8448,1662.0
3,14,1,-73.9648,40.7584,3010.0
4,24,4,-73.9936,40.7391,7490.0
5,34,2,-73.9404,40.844,1995.0
6,39,0,-73.9959,40.753,2457.4
7,48,1,-73.9504,40.7802,1945.0
8,59,1,-73.9522,40.6888,2365.0
9,82,0,-73.9626,40.7617,2214.4
10,83,3,-73.9381,40.8394,2410.0
11,89,1,-73.9592,40.7762,3049.0
12,131,2,-73.9667,40.7947,5696.0
13,135,3,-73.9603,40.7694,6018.2
14,150,0,-73.9498,40.7777,1820.0
15,156,1,-73.9847,40.7692,3055.0
16,165,3,-73.9944,40.7548,4878.0
17,178,1,-73.8792,40.7441,1840.0
18,179,0,-73.9681,40.7689,2845.0
19,202,3,-73.9055,40.6577,2470.0
20,235,0,-73.9914,40.7032,3230.4
21,240,0,-74.0135,40.6503,3494.6
22,247,2,-74.0058,40.7087,4116.0
23,257,1,-74.0308,40.727,2693.0
24,272,2,-73.9779,40.7466,3078.0
25,288,1,-73.9935,40.7247,4175.0
26,309,0,-73.9456,40.7767,2159.2
27,319,1,-73.9464,40.7222,2527.4
28,320,3,-73.9838,40.7316,5130.0
29,330,2,-73.9157,40.8063,2189.0
30,345,2,-73.9936,40.7616,3187.0
31,351,3,-73.955,40.7087,3979.0
32,356,1,-73.9846,40.7756,3199.0
33,366,5,-74.0008,40.7084,10230.4
34,374,3,-73.9486,40.8309,3295.0
35,379,1,-73.9861,40.7719,5037.0
36,384,2,-73.9689,40.7602,4620.0
37,426,1,-73.9171,40.7658,2019.8
38,430,1,-73.9587,40.7723,2640.0
39,451,2,-73.961,40.6455,2475.0
40,452,0,-73.9681,40.7689,2845.0
41,478,0,-73.9375,40.8404,1445.0
42,489,2,-73.947,40.7806,2704.6
43,495,1,-73.9473,40.8152,1910.0
44,529,3,-73.9249,40.6769,2430.0
45,534,1,-73.9789,40.7491,3490.0
46,539,3,-73.9576,40.6889,2724.8
47,553,2,-73.926,40.7726,2920.0
48,559,1,-73.9824,40.7817,2810.0
49,579,0,-73.9347,40.8514,1728.0
50,588,0,-73.97710000000002,40.7923,2866.0
51,616,2,-73.9727,40.7436,4640.0
52,620,0,-73.9797,40.7456,3095.0
53,626,0,-73.9638,40.7634,3390.0
54,631,0,-73.9846,40.7756,3188.0
55,646,2,-73.8928,40.7059,1759.8
